,Palabras,+Women,+Women (valores),+Men,+Men (valores),+Tokio,+Tokio (valores),+Japan,+Japan (valores)
0,#,Minister_Michèle_Alliot,0.28736281394958496,Posnet_Omony,0.31097322702407837,Illa,0.31834232807159424,United_States,0.3772110044956207
1,##,In,0.48567283153533936,inthe,0.4887981712818146,iin,0.4201287031173706,United_States,0.46568846702575684
2,###,forthe,0.4706110954284668,forthe,0.4919195771217346,forthe,0.390517920255661,United_States,0.41392001509666443
3,####,she,0.5752958059310913,it,0.5657936334609985,it,0.4105648696422577,it,0.5154100656509399
4,#####,becomes,0.5192200541496277,isn'ta,0.5635734796524048,was,0.459763765335083,United_States,0.4557116627693176
5,######,onthe,0.5544534921646118,onthe,0.5682894587516785,onthe,0.46356403827667236,onthe,0.47072601318359375
6,#######,8,0.6666738986968994,5,0.685396671295166,5,0.5764011740684509,5,0.54002845287323
7,########,This,0.5843479633331299,Tthe,0.579782247543335,Tthe,0.5557073950767517,This,0.5288519859313965
8,#####_######,withthe,0.4652782082557678,wtih,0.5236421823501587,wth,0.45866286754608154,United_States,0.4036105275154114
9,####-#,says,0.6905606985092163,siad,0.6196178197860718,siad,0.541812539100647,says,0.5461856722831726
10,####-##,is,0.5288525223731995,had,0.5545145869255066,became,0.44225379824638367,had,0.4842500686645508
11,####-####,this,0.47543686628341675,this,0.5045041441917419,ofthe,0.38886696100234985,this,0.4768139719963074
12,####-##-##,At,0.5032609701156616,At,0.491570383310318,At,0.4471518099308014,in,0.3878736197948456
13,####.#,do,0.5622729063034058,do,0.6136916875839233,anymore,0.4872562885284424,do,0.5238416194915771
14,####.##,well,0.4795219898223877,well,0.53315669298172,well,0.3720102608203888,well,0.4677996039390564
15,####m,she,0.6157448291778564,just,0.5687553286552429,something,0.4425443708896637,that,0.5402536988258362
16,####p,she,0.4618909955024719,have,0.48095738887786865,tobe,0.39393889904022217,being,0.45032885670661926
17,####s,fromthe,0.5171687602996826,fromthe,0.48509007692337036,fromthe,0.40244871377944946,fromthe,0.4311389923095703
18,"###,###",bythe,0.48676976561546326,bythe,0.4410013258457184,bya,0.40571150183677673,bythe,0.3907104730606079
19,"###,###,###",were,0.6124481558799744,were,0.6120316982269287,were,0.4996730387210846,were,0.5192357301712036
20,"###,###.##",she,0.6678069233894348,myself,0.6438544988632202,'m,0.5150874853134155,myself,0.56170654296875
21,###-#,'ve,0.525803804397583,'ve,0.5904106497764587,had,0.4391687512397766,'ve,0.525332510471344
22,###-##,she,0.8492251634597778,him,0.6093800067901611,him,0.42036962509155273,He,0.5135668516159058
23,###-###,can,0.5696169137954712,wil,0.5971921682357788,wil,0.5371603965759277,should,0.5533036589622498
24,###-####,recently,0.5310455560684204,had,0.5563257932662964,had,0.4273023307323456,have,0.4596007764339447
25,###-####_Ext,September,0.5989443063735962,September,0.5892297625541687,January,0.4684348702430725,September,0.5277009010314941
26,###-####_ext,her,0.8425194025039673,himself,0.5876765847206116,her,0.43288660049438477,His,0.48473402857780457
27,###-###-####,An,0.6561591625213623,An,0.6539345979690552,An,0.563170313835144,An,0.5279415845870972
28,###-###-####_ext,another,0.4723784923553467,the,0.5206918120384216,another,0.3894343376159668,the,0.4590313732624054
29,###.#,either,0.5581845641136169,either,0.5690301656723022,artpwr.com,0.43224743008613586,either,0.5113846063613892
30,###.##,her,0.5709649324417114,thier,0.5352005958557129,thier,0.47329652309417725,they,0.4817609190940857
31,###.###,whom,0.6119986772537231,whom,0.6140543222427368,whom,0.5048556923866272,whom,0.5150320529937744
32,###.###.####,she,0.5905184745788574,we,0.5681325197219849,couldnÕt,0.4041357934474945,we,0.5076494216918945
33,###.###_mph,although,0.6657150387763977,although,0.6738799810409546,although,0.4988277554512024,although,0.610278844833374
34,###.##_yen,million,0.5658359527587891,million,0.5568130016326904,"#,###.###.##",0.4568430185317993,million,0.530522346496582
35,###/###-####,she,0.5154814720153809,have,0.5766134262084961,was,0.45178401470184326,have,0.5467990040779114
36,###GB,month,0.656209409236908,month,0.6082596182823181,month,0.4498465061187744,month,0.5972039699554443
37,###K,are,0.6011884212493896,are,0.6230899095535278,wre,0.49150705337524414,are,0.537604808807373
38,###M,We,0.5742242336273193,We,0.5892778635025024,I,0.4656899571418762,We,0.5079531073570251
39,###MB,less,0.6601959466934204,less,0.677800178527832,less,0.5092216730117798,less,0.6002511978149414
40,###bn,"#,###",0.6840305328369141,"#,###",0.6053519248962402,"#,###",0.5259620547294617,"#,###",0.5490702986717224
41,###cc,down,0.5047506093978882,down,0.5504961609840393,down,0.4374309182167053,down,0.44192323088645935
42,###k,already,0.46112722158432007,already,0.5394589900970459,beeen,0.4119434356689453,has,0.5132619142532349
43,###km,your,0.6598703861236572,You,0.6747168302536011,your,0.52811598777771,You,0.5845080018043518
44,###m,her,0.5139538049697876,his,0.48040348291397095,Bottling_Works,0.3704553246498108,United_States,0.4719877243041992
45,###mm,only,0.4825809597969055,only,0.5050739645957947,two,0.4124831259250641,only,0.46828407049179077
46,###nd,abut,0.5393832325935364,abut,0.5454577803611755,abut,0.5084790587425232,aggravate_latent,0.42291879653930664
47,###p,could,0.6749883890151978,could,0.6992411613464355,could,0.5180093050003052,could,0.6227927803993225
48,###rd,She,0.5219737887382507,The,0.5110730528831482,The,0.414824903011322,that,0.44535163044929504
49,###s,away,0.5123855471611023,off,0.555031418800354,down,0.4238535165786743,off,0.45073142647743225
50,###st,should,0.5858973860740662,could,0.6081678867340088,want,0.47364601492881775,should,0.5709384679794312
51,###th,This,0.6838653683662415,That,0.7045856714248657,This,0.5243406295776367,That,0.6276536583900452
52,###th_anniversary,these,0.5545843839645386,everybody,0.5005725622177124,everything,0.38683372735977173,those,0.5071156024932861
53,###th_birthday,additionally,0.5529082417488098,meanwhile,0.5126410722732544,additionally,0.4840254783630371,meanwhile,0.47346019744873047
54,"##,#",three,0.759142279624939,three,0.7752051949501038,three,0.6172471046447754,three,0.6597087383270264
55,"##,###",before,0.6290544271469116,before,0.6234567165374756,before,0.5077612400054932,before,0.5342239141464233
56,"##,####",second,0.6423424482345581,second,0.6737216114997864,second,0.5012534260749817,second,0.5910733938217163
57,"##,###,###",She,0.882900595664978,he,0.6347934603691101,She,0.5347754955291748,She,0.5797765254974365
58,"##,###,###_##,###,###",want,0.6224474906921387,know,0.6249436140060425,know,0.5266354084014893,not,0.5164636969566345
59,"##,###.##",she,0.4806289076805115,moment,0.4453849196434021,Zurik,0.34466439485549927,United_States,0.42212581634521484
60,##-#,more,0.6237145662307739,more,0.5740275979042053,more,0.42795664072036743,more,0.5614568591117859
61,##-##,she,0.5408661961555481,then,0.5674392580986023,When,0.437553346157074,then,0.475053995847702
62,##-###,They,0.624423623085022,They,0.67469722032547,They,0.4789184629917145,They,0.5992432832717896
63,##-##-#,past,0.4808376729488373,past,0.48719269037246704,Over,0.3869175910949707,past,0.4804748296737671
64,##-##-##,earlier,0.64182448387146,earlier,0.6086258888244629,earlier,0.462127149105072,earlier,0.5722171068191528
65,##-#-#,thenew,0.4896427392959595,revamped,0.5199484825134277,thenew,0.4060404896736145,NHQ_Program,0.4153013825416565
66,##.#,various,0.5095150470733643,those,0.5178805589675903,various,0.4334748685359955,those,0.4874974489212036
67,##.##,she,0.7715417146682739,his,0.8212888240814209,she,0.5103562474250793,she,0.5657245516777039
68,##.###,women,0.5537201762199402,peole,0.5243359804153442,peple,0.45086532831192017,Americans,0.5409245491027832
69,##.####,intothe,0.49781227111816406,intothe,0.583972692489624,onto,0.4341984689235687,intothe,0.5036033391952515
70,##.##.##,During,0.4868544340133667,During,0.4959436357021332,During,0.42099595069885254,in,0.41936588287353516
71,##.##.####,we,0.5350779891014099,we,0.5785878300666809,Our,0.41738319396972656,we,0.5299184322357178
72,##.##.##_##:##_PM_EDT,there'sa,0.5353694558143616,there'sa,0.583521842956543,there'sa,0.466740220785141,there'sa,0.4654639661312103
73,##.##.##_#:##,An,0.5758493542671204,An,0.5540592074394226,An,0.47108155488967896,An,0.4684159755706787
74,##.##_plus_GST,her,0.7300466895103455,he,0.8211315274238586,her,0.5324128866195679,She,0.5572057962417603
75,##.##am,would,0.6921800374984741,would,0.682303786277771,would,0.5475853085517883,might,0.6085608005523682
